Criation_Time, Product, Quantity, Client, Order_id, Status, Notes-fornecedor
1,1001,11763,0,1000001,0,1
2,1001,11783,0,1000002,0,1
3,1001,11771,0,1000003,0,1
4,1001,11833,0,1000004,0,1
5,1001,11813,0,1000005,0,1
6,1001,11853,0,1000006,0,1
7,1001,11906,0,1000007,0,1
8,1001,11933,0,1000008,0,1
9,1001,11850,0,1000009,0,1
10,1001,11769,0,1000010,0,1
11,1001,11847,0,1000011,0,1
12,1001,11814,0,1000012,0,1
13,1001,11789,0,1000013,0,1
14,1001,11806,0,1000014,0,1
15,1001,11915,0,1000015,0,1
16,1001,11940,0,1000016,0,1
17,1001,11987,0,1000017,0,1
18,1001,11861,0,1000018,0,1
19,1001,11813,0,1000019,0,1
20,1001,11842,0,1000020,0,1
21,1001,11824,0,1000021,0,1
22,1001,11785,0,1000022,0,1
23,1001,11773,0,1000023,0,1
24,1001,11849,0,1000024,0,1
24,2001,86781,1,2000001,0,2
25,1001,11854,0,1000025,0,1
25,2001,86781,1,2000002,0,2
26,1001,11876,0,1000026,0,1
26,2001,11876,1,2000003,0,2
26,2001,86796,1,2000004,0,2
27,1001,11892,0,1000027,0,1
27,2001,23768,1,2000005,0,2
27,2001,86810,1,2000006,0,2
27,3001,86810,2,3000001,0,3
27,3001,545094,2,3000002,0,3
27,4001,545094,3,4000001,0,4
27,5001,545094,4,5000001,0,5
28,1001,11869,0,1000028,0,1
28,2001,35637,1,2000007,0,2
28,2001,86818,1,2000008,0,2
28,3001,209265,2,3000003,0,3
28,3001,534645,2,3000004,0,3
28,4001,1079739,3,4000002,0,4
28,4001,3037117,3,4000003,0,4
28,5001,4661950,4,5000002,0,5
29,1001,11797,0,1000029,0,1
29,2001,35637,1,2000009,0,2
29,3001,244902,2,3000005,0,3
